Split,Übung,Sätze,Wiederholungen,Gewicht,Pause,Notizen,Kategorie,Schwierigkeit,Split-Beschreibung,Split-Dauer,Split-Fokus,Split-Schwierigkeit
Tag 1,Assisted Pull-ups,4,6,0,120,Aufbau zur selbstständigen Klimmzug-Kraft,Main,Hard,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Seated Cable Row,4,10,25,90,Schulterblätter zusammenziehen,Main,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Face Pulls,3,15,15,60,Wichtig für hintere Schulter und Haltung,Main,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Incline Push-ups,3,10,0,90,Schonender für Trichterbrust als flache Liegestütze,Main,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Dips,3,8,0,90,Kontrollierte Bewegung nicht zu tief,Main,Hard,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Tricep Dips,3,12,0,60,An der Bank,Main,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Plank,3,45,0,60,45-60 Sekunden halten,Stabilisation,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Dead Bug,3,10,0,60,Pro Seite,Stabilisation,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Bird Dog,3,8,0,60,Pro Seite,Stabilisation,Easy,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 1,Wall Sit,3,30,0,60,30-45 Sekunden halten,Stabilisation,Medium,Oberkörper-Fokus + HIIT,90,Oberkörper,Intermediate
Tag 2,Goblet Squats,4,12,20,90,Wichtig für Haltungskorrektur,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Bulgarian Split Squats,3,10,0,120,Pro Bein,Main,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Glute Bridges,3,15,0,60,Wichtig für Haltungskorrektur,Main,Easy,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Lat Pulldown,4,10,30,90,Enger Griff,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Push-ups,3,12,0,90,Standard Ausführung,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Seated Shoulder Press,3,10,15,90,Schulterdrücken,Main,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,L-Sit Progression,3,15,0,60,Beine angewinkelt 10-20 Sek,Stabilisation,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Russian Twists,3,20,0,60,20 Wiederholungen,Stabilisation,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Hollow Body Hold,3,25,0,60,20-30 Sekunden halten,Stabilisation,Hard,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 2,Side Plank,3,30,0,60,30 Sek pro Seite,Stabilisation,Medium,Ganzkörper + Rumpfstabilität,90,Ganzkörper,Intermediate
Tag 3,Romanian Deadlifts,4,10,40,120,Wichtig für Haltungskorrektur,Main,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Hip Thrusts,4,12,0,90,12-15 Wiederholungen,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Reverse Hyperextensions,3,12,0,60,12-15 Wiederholungen,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Negative Pull-ups,3,3,0,180,Langsam runterlassen 3-5 Sek,Main,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Bent-over Rows,4,10,25,90,Überzüge,Main,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Reverse Flyes,3,12,8,60,12-15 Wiederholungen,Main,Easy,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Step-ups,3,10,0,90,Pro Bein,Funktionell,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Farmers Walk,3,30,0,60,30 Sekunden tragen,Funktionell,Medium,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Bear Crawl,3,10,0,60,10 Schritte vorwärts/rückwärts,Funktionell,Hard,Unterkörper + Rücken,90,Unterkörper,Advanced
Tag 3,Superman,3,12,0,60,12-15 Wiederholungen,Funktionell,Easy,Unterkörper + Rücken,90,Unterkörper,Advanced
